File_name,phrase
C:\Users\prash\Downloads\Dataset\Dataset\Recordings\Train\80.wav,A quiet library with people.
C:\Users\prash\Downloads\Dataset\Dataset\Recordings\Train\81.wav,A beautiful rainbow after the rain.
C:\Users\prash\Downloads\Dataset\Dataset\Recordings\Train\82.wav,A charming village street.
C:\Users\prash\Downloads\Dataset\Dataset\Recordings\Train\83.wav,A garden full of blooming flowers.
C:\Users\prash\Downloads\Dataset\Dataset\Recordings\Train\84.wav,A family picnic in the park.
C:\Users\prash\Downloads\Dataset\Dataset\Recordings\Train\85.wav,A colorful hot air balloon in the sky.
C:\Users\prash\Downloads\Dataset\Dataset\Recordings\Train\86.wav,A happy couple on a walk.
C:\Users\prash\Downloads\Dataset\Dataset\Recordings\Train\87.wav,A cozy fireplace on a cold night.
C:\Users\prash\Downloads\Dataset\Dataset\Recordings\Train\88.wav,A happy child flying a kite.
C:\Users\prash\Downloads\Dataset\Dataset\Recordings\Train\89.wav,A beautiful hiking scenerio.
C:\Users\prash\Downloads\Dataset\Dataset\Recordings\Train\90.mp3,A cat wearing sunglasses and riding a skateboard.
C:\Users\prash\Downloads\Dataset\Dataset\Recordings\Train\91.mp3,A giraffe in a top hat drinking tea.
C:\Users\prash\Downloads\Dataset\Dataset\Recordings\Train\92.mp3,A robot juggling colorful balloons.
C:\Users\prash\Downloads\Dataset\Dataset\Recordings\Train\93.mp3,A dinosaur having a picnic with a family.
C:\Users\prash\Downloads\Dataset\Dataset\Recordings\Train\94.mp3,A bear dressed as a chef cooking pancakes.
C:\Users\prash\Downloads\Dataset\Dataset\Recordings\Train\95.mp3,A beautiful garden with colorful flowers and butterflies
C:\Users\prash\Downloads\Dataset\Dataset\Recordings\Train\96.mp3,A blue whale wearing glasses reading a book underwater.
C:\Users\prash\Downloads\Dataset\Dataset\Recordings\Train\97.mp3,A robot playing chess with a human.
C:\Users\prash\Downloads\Dataset\Dataset\Recordings\Train\98.mp3,A cow jumping over a rainbow.
C:\Users\prash\Downloads\Dataset\Dataset\Recordings\Train\99.mp3,A crocodile playing the piano at a jazz club.
C:\Users\prash\Downloads\Dataset\Dataset\Recordings\Train\100.mp3,A dragon flying above a medieval castle.
C:\Users\prash\Downloads\Dataset\Dataset\Recordings\Train\101.mp3,A duck wearing a raincoat and boots in a puddle.
C:\Users\prash\Downloads\Dataset\Dataset\Recordings\Train\102.mp3,A fox flying a kite in a windy meadow.
C:\Users\prash\Downloads\Dataset\Dataset\Recordings\Train\103.mp3,A giant tree in the middle of a desert.
C:\Users\prash\Downloads\Dataset\Dataset\Recordings\Train\104.mp3,A superhero flying above a bustling city.
C:\Users\prash\Downloads\Dataset\Dataset\Recordings\Train\105.mp3,A beautiful underwater coral reef scene.
C:\Users\prash\Downloads\Dataset\Dataset\Recordings\Train\106.mp3,A peaceful village in the mountains.
C:\Users\prash\Downloads\Dataset\Dataset\Recordings\Train\107.mp3,A kangaroo boxing in the ring.
C:\Users\prash\Downloads\Dataset\Dataset\Recordings\Train\108.mp3,A lion wearing a crown and cape sitting on a throne.
C:\Users\prash\Downloads\Dataset\Dataset\Recordings\Train\109.mp3,A monkey astronaut floating in space
